Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
436 /api/goal/userGoals,50,17317,16914,23687,25326,30970,8700,30970,2.000%,.21342,6.82,0.08
437 /api/goal/calculateuseractivity,50,12470,12133,19535,20443,23561,1581,23561,0.000%,.21784,0.90,0.09
434 /api/goal/userGoals,50,19442,18141,26257,28902,31453,11676,31453,2.000%,.20610,6.59,0.08
438 /api/goal/userGoals,50,20676,20109,26604,29582,31003,12807,31003,4.000%,.20805,6.52,0.08
439 /api/dashboard/userData,50,14383,13211,20780,22084,23495,6848,23495,0.000%,.21401,0.72,0.08
440 /api/goal/getFilteredRangeUserActivity,50,11392,10541,15691,17599,19563,5207,19563,0.000%,.21474,1.06,0.09
441 /api/goal/calculateuseractivity,50,11219,11146,14781,15872,18856,5540,18856,0.000%,.22416,0.92,0.09
442 /api/goal/userGoals,50,18248,17755,23003,23596,29539,10243,29539,0.000%,.22228,7.25,0.09
443 /api/goal/calculateuseractivity,50,12436,11338,18939,20940,23490,5575,23490,0.000%,.21341,0.88,0.09
445 /api/dashboard/userData,50,13497,13176,18042,19359,23142,6307,23142,0.000%,.21375,0.71,0.08
446 /api/getAssessmentList,50,15465,14140,22668,22679,23110,6860,23110,0.000%,.20939,0.69,0.08
444 /api/goal/userGoals,50,20123,19539,26161,30268,30932,9338,30932,2.000%,.20886,6.68,0.08
447 /api/goal/userGoals,50,17873,17041,23630,27289,30906,9853,30906,4.000%,.20848,6.53,0.08
448 /api/dashboard/userData,50,12115,11621,18688,18823,22241,4459,22241,0.000%,.21540,0.73,0.08
451 /api/user/id,50,7765,7220,11427,12295,18620,2182,18620,0.000%,.22241,0.18,0.08
449 /api/theme/getWellnessAssessment,50,9261,8678,13401,14166,18090,3058,18090,0.000%,.23471,0.14,0.09
450 /api/theme/getWellnessAssessment,50,9320,8353,13569,17050,17603,4123,17603,0.000%,.24206,0.15,0.10
452 /api/goal/calculateuseractivity,50,10939,9754,16015,18973,21279,2804,21279,0.000%,.24604,1.01,0.10
456 /api/goal/calculateuseractivity,50,10516,10075,15729,16315,19884,2412,19884,0.000%,.24233,1.00,0.10
453 /api/goal/userGoals,50,20030,19765,26901,28579,30666,10576,30666,2.000%,.22704,7.26,0.09
455 /api/goal/calculateuseractivity,50,11630,11260,17253,18022,25179,4170,25179,0.000%,.22628,0.93,0.09
454 /api/goal/userGoals,50,19117,18362,27942,29679,30856,7407,30856,0.000%,.21374,6.97,0.08
458 /api/zul/getLeaderBoard,50,12052,10668,18558,19553,23171,4176,23171,0.000%,.22578,1.07,0.09
457 /api/goal/userGoals,50,17032,16255,22780,23996,27677,9589,27677,0.000%,.22340,7.29,0.09
459 /api/goal/calculateuseractivity,50,9906,8810,14525,15036,20058,5742,20058,0.000%,.24518,1.01,0.10
461 /api/goal/calculateuseractivity,50,8625,8178,15396,15784,19434,1924,19434,0.000%,.24403,1.01,0.10
460 /api/goal/userGoals,50,14144,13597,19349,20294,24216,6147,24216,0.000%,.24850,8.10,0.10
463 /api/goal/calculateuseractivity,50,8587,7682,12163,13814,19461,3060,19461,0.000%,.27431,1.13,0.11
465 /api/goal/calculateuseractivity,50,8650,7849,14308,14850,16098,3414,16098,0.000%,.27919,1.15,0.11
464 /api/goal/userGoals,50,17006,16125,22248,23662,28717,4518,28717,0.000%,.28506,9.30,0.11
462 /api/goal/userGoals,50,17880,19067,23909,24540,25934,4634,25934,0.000%,.29889,9.75,0.12
466 /api/goal/userGoals,50,16747,17377,21319,22565,28738,3353,28738,0.000%,.31688,10.34,0.12
467 /api/goal/calculateuseractivity,50,9544,9706,13786,15214,17844,1263,17844,0.000%,.33868,1.40,0.14
469 /api/goal/calculateuseractivity,50,9043,8780,13824,14689,18892,482,18892,0.000%,.35127,1.45,0.14
468 /api/goal/userGoals,50,12661,13093,18844,20150,26260,1945,26260,0.000%,.39874,13.00,0.15
471 /api/theme/getWellnessAssessment,50,6571,6573,11078,11500,17390,1139,17390,0.000%,.47320,0.29,0.19
472 /api/user/id,50,5910,5655,11345,11350,14654,299,14654,0.000%,.51776,0.42,0.20
470 /api/goal/userGoals,50,10466,11766,16596,17850,18550,2020,18550,0.000%,.58721,19.15,0.23
